dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M1200607495,2022-01-28 14:11:01.000,66.5,37.0,685.9,441.2,False,False,False,70.496,0.0,,1559.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:11:11.000,66.5,-11.0,690.2,441.3,False,False,False,69.392,0.0,,1559.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:11:21.000,66.5,-11.1,690.7,441.3,False,False,False,58.624,20.42,,1559.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:11:31.000,66.5,59.3,682.2,441.3,False,False,False,80.56,20.22,,1559.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:11:41.000,66.5,-36.2,691.0,441.4,False,False,False,76.224,8.108,,1560.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:11:51.000,66.5,31.7,686.6,441.4,False,False,False,70.32,10.748,,1560.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:12:01.000,66.5,12.7,689.5,441.4,False,False,False,62.336,8.596,,1560.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:12:11.000,66.5,4.4,692.0,441.4,False,False,False,50.352,10.598,,1560.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:12:21.000,66.5,8.9,690.3,441.4,False,False,False,55.104,14.752,,1560.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:12:31.000,66.5,7.2,690.9,441.5,False,False,False,47.056,16.416,,1560.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:12:41.000,66.5,-10.4,689.3,441.5,False,False,False,57.232,14.752,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:12:51.000,66.5,-63.2,697.9,441.5,False,False,False,15.904,0.0,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:13:01.000,66.5,3.7,692.6,441.5,False,False,False,10.0,4.792,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:13:11.000,66.5,1.8,692.7,441.5,False,False,False,9.888,19.094,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:13:21.000,66.5,0.3,692.8,441.5,False,False,False,7.984,9.772,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
